Row_ID;Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Customer_Name;Segment;Country;City;State;Postal_Code;Region;Product_ID;Category;Sub_Category;Product_Name;Sales;Quantity;Discount;Profit
1;CA-2013-152156;09/11/2013;12/11/2013;"Standard Class";CG-12520;"Claire Gute";Consumer;"United States";Henderson;Kentucky;42420;South;FUR-BO-10001798;Furniture;Bookcases;"Bush Somerset Collection Bookcase";261.96;2;0;41.9136
2;CA-2013-152156;09/11/2013;12/11/2013;"Standard Class";CG-12520;"Claire Gute";Consumer;"United States";Henderson;Kentucky;42420;South;FUR-CH-10000454;Furniture;Chairs;"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back";731.94;3;0;219.582
4;US-2012-108966;11/10/2012;18/10/2012;"Standard Class";SO-20335;"Sean O'Donnell";Consumer;"United States";"Fort Lauderdale";Florida;33311;South;FUR-TA-10000577;Furniture;Tables;"Bretford CR4500 Series Slim Rectangular Table";957.5775;5;0.45;-383.031
8;CA-2011-115812;09/06/2011;14/06/2011;"Standard Class";BH-11710;"Brosina Hoffman";Consumer;"United States";"Los Angeles";California;90032;West;TEC-PH-10002275;Technology;Phones;"Mitel 5320 IP Phone VoIP phone";907.152;6;0.2;90.7152
11;CA-2011-115812;09/06/2011;14/06/2011;"Standard Class";BH-11710;"Brosina Hoffman";Consumer;"United States";"Los Angeles";California;90032;West;FUR-TA-10001539;Furniture;Tables;"Chromcraft Rectangular Conference Tables";1706.184;9;0.2;85.3092
12;CA-2011-115812;09/06/2011;14/06/2011;"Standard Class";BH-11710;"Brosina Hoffman";Consumer;"United States";"Los Angeles";California;90032;West;TEC-PH-10002033;Technology;Phones;"Konftel 250 Conference phone - Charcoal black";911.424;4;0.2;68.3568
14;CA-2013-161389;06/12/2013;11/12/2013;"Standard Class";IM-15070;"Irene Maddox";Consumer;"United States";Seattle;Washington;98103;West;OFF-BI-10003656;"Office Supplies";Binders;"Fellowes PB200 Plastic Comb Binding Machine";407.976;3;0.3;132.5922
17;CA-2011-105893;11/11/2011;18/11/2011;"Standard Class";PK-19075;"Pete Kriz";Consumer;"United States";Madison;Wisconsin;53711;Central;OFF-ST-10004186;"Office Supplies";Storage;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 36""W x 18 1/2""D"";665.88;6;0.3;13.3176
25;CA-2012-106320;25/09/2012;30/09/2012;"Standard Class";EB-13870;"Emily Burns";Consumer;"United States";Orem;Utah;84057;West;FUR-TA-10000577;Furniture;Tables;"Bretford CR4500 Series Slim Rectangular Table";1044.63;3;0;240.2649
28;US-2012-150630;17/09/2012;21/09/2012;"Standard Class";TB-21520;"Tracy Blumstein";Consumer;"United States";Philadelphia;Pennsylvania;19140;East;FUR-BO-10004834;Furniture;Bookcases;"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish";3083.43;7;0.5;-1665.0522
36;CA-2013-117590;09/12/2013;11/12/2013;"First Class";GH-14485;"Gene Hale";Corporate;"United States";Richardson;Texas;75080;Central;TEC-PH-10004977;Technology;Phones;"GE 30524EE4";1097.544;7;0.2;123.4737
39;CA-2012-117415;27/12/2012;31/12/2012;"Standard Class";SN-20710;"Steve Nguyen";"Home Office";"United States";Houston;Texas;77041;Central;FUR-BO-10002545;Furniture;Bookcases;"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors";532.3992;3;0.32;-46.9764
41;CA-2012-117415;27/12/2012;31/12/2012;"Standard Class";SN-20710;"Steve Nguyen";"Home Office";"United States";Houston;Texas;77041;Central;TEC-PH-10000486;Technology;Phones;"Plantronics HL10 Handset Lifter";371.168;4;0.2;41.7564
55;CA-2013-105816;12/12/2013;18/12/2013;"Standard Class";JM-15265;"Janet Molinari";Corporate;"United States";"New York City";"New York";10024;East;TEC-PH-10002447;Technology;Phones;"AT&T CL83451 4-Handset Telephone";1029.95;5;0;298.6855
58;CA-2013-111682;18/06/2013;19/06/2013;"First Class";TB-21055;"Ted Butterfield";Consumer;"United States";Troy;"New York";12180;East;FUR-CH-10003968;Furniture;Chairs;"Novimex Turbo Task Chair";319.41;5;0.1;7.098
